Date/Time,Energy Produced (Wh)
2017-02-25 00:00:00 -0800,145
2017-02-26 00:00:00 -0800,0
2017-02-27 00:00:00 -0800,0
2017-02-28 00:00:00 -0800,0
2017-03-01 00:00:00 -0800,0
2017-03-02 00:00:00 -0800,316
2017-03-03 00:00:00 -0800,2742
2017-03-04 00:00:00 -0800,8255
2017-03-05 00:00:00 -0800,3661
2017-03-06 00:00:00 -0800,6122
2017-03-07 00:00:00 -0800,1714
2017-03-08 00:00:00 -0800,5500
2017-03-09 00:00:00 -0800,1363
2017-03-10 00:00:00 -0800,4397
2017-03-11 00:00:00 -0800,1302
2017-03-12 00:00:00 -0800,2212
2017-03-13 00:00:00 -0700,1050
2017-03-14 00:00:00 -0700,4851
2017-03-15 00:00:00 -0700,6388
2017-03-16 00:00:00 -0700,6699
2017-03-17 00:00:00 -0700,2244
2017-03-18 00:00:00 -0700,9555
2017-03-19 00:00:00 -0700,12388
2017-03-20 00:00:00 -0700,6984
2017-03-21 00:00:00 -0700,2993
2017-03-22 00:00:00 -0700,4018
2017-03-23 00:00:00 -0700,2723
2017-03-24 00:00:00 -0700,4616
2017-03-25 00:00:00 -0700,7267
2017-03-26 00:00:00 -0700,1356
2017-03-27 00:00:00 -0700,7565
2017-03-28 00:00:00 -0700,3494
2017-03-29 00:00:00 -0700,3771
2017-03-30 00:00:00 -0700,13319
2017-03-31 00:00:00 -0700,3583
2017-04-01 00:00:00 -0700,4783
2017-04-02 00:00:00 -0700,10471
2017-04-03 00:00:00 -0700,13496
2017-04-04 00:00:00 -0700,3385
2017-04-05 00:00:00 -0700,6940
2017-04-06 00:00:00 -0700,6827
2017-04-07 00:00:00 -0700,1816
2017-04-08 00:00:00 -0700,4714
2017-04-09 00:00:00 -0700,6339
2017-04-10 00:00:00 -0700,4640
2017-04-11 00:00:00 -0700,12545
2017-04-12 00:00:00 -0700,1799
2017-04-13 00:00:00 -0700,3692
2017-04-14 00:00:00 -0700,9098
2017-04-15 00:00:00 -0700,7447
2017-04-16 00:00:00 -0700,9859
2017-04-17 00:00:00 -0700,3293
2017-04-18 00:00:00 -0700,7553
2017-04-19 00:00:00 -0700,5575
2017-04-20 00:00:00 -0700,5898
2017-04-21 00:00:00 -0700,14029
2017-04-22 00:00:00 -0700,3095
2017-04-23 00:00:00 -0700,6206
2017-04-24 00:00:00 -0700,10582
2017-04-25 00:00:00 -0700,7622
2017-04-26 00:00:00 -0700,10190
2017-04-27 00:00:00 -0700,8074
2017-04-28 00:00:00 -0700,14124
2017-04-29 00:00:00 -0700,2138
2017-04-30 00:00:00 -0700,9536
2017-05-01 00:00:00 -0700,4979
2017-05-02 00:00:00 -0700,7474
2017-05-03 00:00:00 -0700,1642
2017-05-04 00:00:00 -0700,12888
2017-05-05 00:00:00 -0700,10264
2017-05-06 00:00:00 -0700,10786
2017-05-07 00:00:00 -0700,14125
2017-05-08 00:00:00 -0700,6083
2017-05-09 00:00:00 -0700,9909
2017-05-10 00:00:00 -0700,7236
2017-05-11 00:00:00 -0700,4237
2017-05-12 00:00:00 -0700,6390
2017-05-13 00:00:00 -0700,8915
2017-05-14 00:00:00 -0700,8656
2017-05-15 00:00:00 -0700,3456
2017-05-16 00:00:00 -0700,11513
2017-05-17 00:00:00 -0700,9904
2017-05-18 00:00:00 -0700,9196
